title,description,Vendor,Product Category,Type,Tags,Variant SKU,Barcode (ISBN, UPC, GTIN, etc.),Image Src,Variant weight,Variant Weight Unit,Brand
"Anastasia Brow Wiz - Auburn","Best-selling, ultra-slim mechanical pencil for defining, outlining, and filling in brows. The pencil tip mimics the appearance of tiny hairs to naturally and easily fill in sparse areas.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-86009","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/r/brow_wiz_auburn_.jpg","50","g","Anastasia"
"Anastasia Brow Wiz - Brunette/ Dark Brown","Best-selling, ultra-slim mechanical pencil for defining, outlining, and filling in brows. The pencil tip mimics the appearance of tiny hairs to naturally and easily fill in sparse areas.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-86003","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/r/brow_wiz_brunette.jpg","50","g","Anastasia"
"Anastasia Brow Wiz - Caramel","Best-selling, ultra-slim mechanical pencil for defining, outlining, and filling in brows. The pencil tip mimics the appearance of tiny hairs to naturally and easily fill in sparse areas.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-86004","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/r/brow_wiz_caramel_2_1.jpg","50","g","Anastasia"
"Anastasia Brow Wiz - Ebony","Best-selling, ultra-slim mechanical pencil for defining, outlining, and filling in brows. The pencil tip mimics the appearance of tiny hairs to naturally and easily fill in sparse areas.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-86005","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/r/brow_wiz_caramel_2_1_1.jpg","50","g","Anastasia"
"Anastasia Brow Wiz - Chocolate","Best-selling, ultra-slim mechanical pencil for defining, outlining, and filling in brows. The pencil tip mimics the appearance of tiny hairs to naturally and easily fill in sparse areas.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-86006","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/b/r/brow_wiz_chocolate_2.jpg","50","g","Anastasia"
"Anastasia DipBrow Pomade - Auburn","Creamy, waterproof brow color ideal for defining and sculpting precise, smudge-free brows. Use with Brush #12 for a completely smooth, effortless application.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-05106","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/d/i/dipbrow_auburn_2_1.jpg","50","g","Anastasia"
"Anastasia DipBrow Pomade - Blonde","Creamy, waterproof brow color ideal for defining and sculpting precise, smudge-free brows. Use with Brush #12 for a completely smooth, effortless application.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-05107","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/d/i/dipbrow_blonde_3.jpg","50","g","Anastasia"
"Anastasia DipBrow Pomade - Dark Brown","Creamy, waterproof brow color ideal for defining and sculpting precise, smudge-free brows. Use with Brush #12 for a completely smooth, effortless application.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-05104","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/s/1/s1578699-main-hero-300.jpg","50","g","Anastasia"
"Anastasia DipBrow Pomade - Ebony","Creamy, waterproof brow color ideal for defining and sculpting precise, smudge-free brows. Use with Brush #12 for a completely smooth, effortless application.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-05105","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/d/i/dipbrow_enony__1.jpg","50","g","Anastasia"
"Anastasia Pro Pencil - Base 2","Conceal blemishes, dark circles, and flaws. Highlight the brows, face and eyes. Cover brow hairs as they grow back in. Line your lips and even prime your lids for eye shadow. Pro Pencil does the work of 5 makeup bag must-haves in one portable pencil.","Glamazle","Makeup","","Makeup,face,eyeliner","ABH01-19192","","https://stage-glamazle.hyperx.cloud/pub/media/catalog/product/p/r/pro_pencil_-_base_2_copy.jpg","50","g","Anastasia"
